JDTDB, Calendar Date (TDB), EC, QR, IN, OM, W, Tp, N, MA, TA, A, AD, PR,
2458313.875000000, A.D. 2018-Jul-14 09:00:00.0000,  3.442331681379462E-01,  6.930143433401783E-01,  2.515524969074408E+01,  2.362379741264558E+02,  2.555045942713991E+02,  2.458158720829948E+06,  9.072247900777827E-01,  1.407597093546237E+02,  1.591452016993130E+02,  1.056799932031268E+00,  1.420585520722357E+00,  3.968145535012714E+02,
2458313.916666667, A.D. 2018-Jul-14 10:00:00.0000,  3.442331746382297E-01,  6.930143275006669E-01,  2.515524947301809E+01,  2.362379734040987E+02,  2.555045920493089E+02,  2.458158720827759E+06,  9.072248076917425E-01,  1.407975151074375E+02,  1.591662184843705E+02,  1.056799918352606E+00,  1.420585509204546E+00,  3.968145457970336E+02,
2458313.958333333, A.D. 2018-Jul-14 11:00:00.0000,  3.442331811317165E-01,  6.930143116771351E-01,  2.515524925563292E+01,  2.362379726823114E+02,  2.555045898274480E+02,  2.458158720825567E+06,  9.072248252884285E-01,  1.408353208611934E+02,  1.591872324865797E+02,  1.056799904687360E+00,  1.420585497697584E+00,  3.968145381003516E+02,
2458314.000000000, A.D. 2018-Jul-14 12:00:00.0000,  3.442331876183963E-01,  6.930142958695993E-01,  2.515524903858852E+01,  2.362379719610951E+02,  2.555045876058145E+02,  2.458158720823373E+06,  9.072248428678310E-01,  1.408731266158905E+02,  1.592082437091746E+02,  1.056799891035536E+00,  1.420585486201472E+00,  3.968145304112297E+02,
2458314.041666667, A.D. 2018-Jul-14 13:00:00.0000,  3.442331940983230E-01,  6.930142800779735E-01,  2.515524882188456E+01,  2.362379712404499E+02,  2.555045853844044E+02,  2.458158720821177E+06,  9.072248604300071E-01,  1.409109323715301E+02,  1.592292521553903E+02,  1.056799877397090E+00,  1.420585474716206E+00,  3.968145227296427E+02,
2458314.083333333, A.D. 2018-Jul-14 14:00:00.0000,  3.442332005714854E-01,  6.930142643022743E-01,  2.515524860552100E+01,  2.362379705203770E+02,  2.555045831632159E+02,  2.458158720818978E+06,  9.072248779749463E-01,  1.409487381281122E+02,  1.592502578284575E+02,  1.056799863772030E+00,  1.420585463241786E+00,  3.968145150555953E+02,
2458314.125000000, A.D. 2018-Jul-14 15:00:00.0000,  3.442332070378935E-01,  6.930142485424861E-01,  2.515524838949771E+01,  2.362379698008771E+02,  2.555045809422464E+02,  2.458158720816777E+06,  9.072248955026599E-01,  1.409865438856368E+02,  1.592712607316060E+02,  1.056799850160348E+00,  1.420585451778210E+00,  3.968145073890826E+02,
2458314.166666667, A.D. 2018-Jul-14 16:00:00.0000,  3.442332134975587E-01,  6.930142327985895E-01,  2.515524817381457E+01,  2.362379690819511E+02,  2.555045787214934E+02,  2.458158720814573E+06,  9.072249130131612E-01,  1.410243496441040E+02,  1.592922608680636E+02,  1.056799836562033E+00,  1.420585440325477E+00,  3.968144997300989E+02,
2458314.208333333, A.D. 2018-Jul-14 17:00:00.0000,  3.442332199504912E-01,  6.930142170705688E-01,  2.515524795847142E+01,  2.362379683635997E+02,  2.555045765009544E+02,  2.458158720812367E+06,  9.072249305064608E-01,  1.410621554035141E+02,  1.593132582410570E+02,  1.056799822977077E+00,  1.420585428883585E+00,  3.968144920786391E+02,
2458314.250000000, A.D. 2018-Jul-14 18:00:00.0000,  3.442332263967013E-01,  6.930142013584054E-01,  2.515524774346813E+01,  2.362379676458237E+02,  2.555045742806268E+02,  2.458158720810158E+06,  9.072249479825718E-01,  1.410999611638674E+02,  1.593342528538107E+02,  1.056799809405470E+00,  1.420585417452534E+00,  3.968144844346980E+02,
2458314.291666667, A.D. 2018-Jul-14 19:00:00.0000,  3.442332328362004E-01,  6.930141856620833E-01,  2.515524752880455E+01,  2.362379669286240E+02,  2.555045720605081E+02,  2.458158720807947E+06,  9.072249654415055E-01,  1.411377669251634E+02,  1.593552447095476E+02,  1.056799795847202E+00,  1.420585406032321E+00,  3.968144767982704E+02,
2458314.333333333, A.D. 2018-Jul-14 20:00:00.0000,  3.442332392689976E-01,  6.930141699815852E-01,  2.515524731448055E+01,  2.362379662120014E+02,  2.555045698405959E+02,  2.458158720805734E+06,  9.072249828832740E-01,  1.411755726874032E+02,  1.593762338114891E+02,  1.056799782302265E+00,  1.420585394622946E+00,  3.968144691693510E+02,
2458314.375000000, A.D. 2018-Jul-14 21:00:00.0000,  3.442332456951052E-01,  6.930141543168925E-01,  2.515524710049598E+01,  2.362379654959565E+02,  2.555045676208874E+02,  2.458158720803519E+06,  9.072250003078896E-01,  1.412133784505866E+02,  1.593972201628546E+02,  1.056799768770650E+00,  1.420585383224407E+00,  3.968144615479346E+02,
2458314.416666667, A.D. 2018-Jul-14 22:00:00.0000,  3.442332521145324E-01,  6.930141386679892E-01,  2.515524688685072E+01,  2.362379647804903E+02,  2.555045654013803E+02,  2.458158720801301E+06,  9.072250177153642E-01,  1.412511842147135E+02,  1.594182037668619E+02,  1.056799755252346E+00,  1.420585371836703E+00,  3.968144539340157E+02,
2458314.458333333, A.D. 2018-Jul-14 23:00:00.0000,  3.442332585272909E-01,  6.930141230348571E-01,  2.515524667354460E+01,  2.362379640656034E+02,  2.555045631820721E+02,  2.458158720799081E+06,  9.072250351057095E-01,  1.412889899797845E+02,  1.594391846267273E+02,  1.056799741747345E+00,  1.420585360459833E+00,  3.968144463275893E+02,
2458314.500000000, A.D. 2018-Jul-15 00:00:00.0000,  3.442332649333902E-01,  6.930141074174794E-01,  2.515524646057750E+01,  2.362379633512967E+02,  2.555045609629602E+02,  2.458158720796858E+06,  9.072250524789381E-01,  1.413267957457998E+02,  1.594601627456653E+02,  1.056799728255637E+00,  1.420585349093794E+00,  3.968144387286501E+02,

