JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ, LT, RG, RR,
2458314.416666667, A.D. 2018-Jul-14 22:00:00.0000, -3.832968660008037E-01,  8.637736962601421E-01,  3.744282878494621E-01, -1.557909217623409E-02, -5.708783624483555E-03, -2.556283670761120E-03,  5.870660345086071E-03,  1.016473329005157E+00,  8.182718950374734E-05,
2458314.458333333, A.D. 2018-Jul-14 23:00:00.0000, -3.839469694293428E-01,  8.635359667861381E-01,  3.743216859050630E-01, -1.562650452947827E-02, -5.704507194151529E-03, -2.560608371390898E-03,  5.870684030759953E-03,  1.016477430052461E+00,  1.133430767856326E-04,
2458314.500000000, A.D. 2018-Jul-15 00:00:00.0000, -3.845991020573151E-01,  8.632981260465405E-01,  3.742149038808548E-01, -1.567588123266357E-02, -5.714210775679188E-03, -2.564928591154887E-03,  5.870714008985927E-03,  1.016482620621385E+00,  1.338221457021041E-04,
2458314.541666667, A.D. 2018-Jul-15 01:00:00.0000, -3.852532687534835E-01,  8.630595874838615E-01,  3.741079418268226E-01, -1.572352584850339E-02, -5.737927188936746E-03, -2.569250889909720E-03,  5.870747437428421E-03,  1.016488408576782E+00,  1.418506035997683E-04,
2458314.583333333, A.D. 2018-Jul-15 02:00:00.0000, -3.859093219528127E-01,  8.628197832891673E-01,  3.740007995230766E-01, -1.576586006015949E-02, -5.774728857510543E-03, -2.573581587260901E-03,  5.870781234237859E-03,  1.016494260312937E+00,  1.368630385693039E-04,
2458314.625000000, A.D. 2018-Jul-15 03:00:00.0000, -3.865669717442067E-01,  8.625782033182381E-01,  3.738934764990003E-01, -1.579966885778446E-02, -5.822791365454420E-03, -2.577926329245509E-03,  5.870812288047610E-03,  1.016499637113420E+00,  1.191809507659817E-04,
2458314.666666667, A.D. 2018-Jul-15 04:00:00.0000, -3.872258057118109E-01,  8.623344300565807E-01,  3.737859720695905E-01, -1.582232083133417E-02, -5.879518465379739E-03, -2.582289701162430E-03,  5.870837669982902E-03,  1.016504031859283E+00,  8.999084933500289E-05,
2458314.708333333, A.D. 2018-Jul-15 05:00:00.0000, -3.878853171703575E-01,  8.620881672374867E-01,  3.736782853865005E-01, -1.583194847519773E-02, -5.941719972343639E-03, -2.586674913078795E-03,  5.870854833237205E-03,  1.016507003584644E+00,  5.126342265760255E-05,
2458314.750000000, A.D. 2018-Jul-15 06:00:00.0000, -3.885449398598677E-01,  8.618392601522382E-01,  3.735704155002878E-01, -1.582757615019954E-02, -6.005830354258905E-03, -2.591083579562021E-03,  5.870861786622010E-03,  1.016508207525902E+00,  5.619300303882557E-06,
2458314.791666667, A.D. 2018-Jul-15 07:00:00.0000, -3.892040867224386E-01,  8.615877062608038E-01,  3.734623614296029E-01, -1.580918693504394E-02, -6.068153041053206E-03, -2.595515608731078E-03,  5.870857230270941E-03,  1.016507418618170E+00, -4.384944423441601E-05,
2458314.833333333, A.D. 2018-Jul-15 08:00:00.0000, -3.898621901041354E-01,  8.613336553759833E-01,  3.733541222325769E-01, -1.577772378653989E-02, -6.125113712550870E-03, -2.599969208230590E-03,  5.870840644257253E-03,  1.016504546838923E+00, -9.378989519878188E-05,
2458314.875000000, A.D. 2018-Jul-15 09:00:00.0000, -3.905187406273555E-01,  8.610773994083799E-01,  3.732456970755180E-01, -1.573502492911368E-02, -6.173505209803297E-03, -2.604441007720211E-03,  5.870812324089212E-03,  1.016499643353830E+00, -1.408166668709380E-04,
2458314.916666667, A.D. 2018-Jul-15 10:00:00.0000, -3.911733220701413E-01,  8.608193523748779E-01,  3.731370852942089E-01, -1.568369790070785E-02, -6.210707288603754E-03, -2.608926289488387E-03,  5.870773360662916E-03,  1.016492897045696E+00, -1.817425067558078E-04,
