            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2458315.291666667, A.D. 2018-Jul-15 19:00:00.0000,  4.174121258662504E-01, -1.220048239101762E+00,  4.813754258198332E-01,  1.131568057707347E-02,  2.929465240743868E-03,  3.653234431716639E-03,  7.949414890505473E-03,  1.376398521191707E+00,  2.112608094412921E-03,
2458315.333333333, A.D. 2018-Jul-15 20:00:00.0000,  4.178835714222539E-01, -1.219926057872503E+00,  4.815275964955260E-01,  1.131370580265478E-02,  2.935233483024570E-03,  3.650957954373102E-03,  7.949923029345557E-03,  1.376486502704521E+00,  2.110504518511527E-03,
2458315.375000000, A.D. 2018-Jul-15 21:00:00.0000,  4.183549346574460E-01, -1.219803636334890E+00,  4.816796723121037E-01,  1.131172917825961E-02,  2.941000041858170E-03,  3.648681194227145E-03,  7.950430661965721E-03,  1.376574396568072E+00,  2.108400929841794E-03,
2458315.416666667, A.D. 2018-Jul-15 22:00:00.0000,  4.188262154947578E-01, -1.219680974559057E+00,  4.818316532577860E-01,  1.130975070465653E-02,  2.946764917714099E-03,  3.646404151456343E-03,  7.950937788362899E-03,  1.376662202781831E+00,  2.106297328472731E-03,
2458315.458333333, A.D. 2018-Jul-15 23:00:00.0000,  4.192974138571604E-01, -1.219558072615116E+00,  4.819835393208020E-01,  1.130777038261294E-02,  2.952528111061519E-03,  3.644126826237878E-03,  7.951444408534045E-03,  1.376749921345269E+00,  2.104193714473120E-03,
2458315.500000000, A.D. 2018-Jul-16 00:00:00.0000,  4.197685296676485E-01, -1.219434930573163E+00,  4.821353304893859E-01,  1.130578821289514E-02,  2.958289622369142E-03,  3.641849218748620E-03,  7.951950522476128E-03,  1.376837552257863E+00,  2.102090087911567E-03,
2458315.541666667, A.D. 2018-Jul-16 01:00:00.0000,  4.202395628492492E-01, -1.219311548503274E+00,  4.822870267517795E-01,  1.130380419626827E-02,  2.964049452105315E-03,  3.639571329165080E-03,  7.952456130186133E-03,  1.376925095519089E+00,  2.099986448856497E-03,
2458315.583333333, A.D. 2018-Jul-16 02:00:00.0000,  4.207105133250291E-01, -1.219187926475503E+00,  4.824386280962339E-01,  1.130181833349631E-02,  2.969807600738126E-03,  3.637293157663394E-03,  7.952961231661058E-03,  1.377012551128428E+00,  2.097882797376096E-03,
2458315.625000000, A.D. 2018-Jul-16 03:00:00.0000,  4.211813810180787E-01, -1.219064064559887E+00,  4.825901345110055E-01,  1.129983062534213E-02,  2.975564068735196E-03,  3.635014704419359E-03,  7.953465826897928E-03,  1.377099919085365E+00,  2.095779133538392E-03,
2458315.666666667, A.D. 2018-Jul-16 04:00:00.0000,  4.216521658515203E-01, -1.218939962826444E+00,  4.827415459843578E-01,  1.129784107256745E-02,  2.981318856563797E-03,  3.632735969608444E-03,  7.953969915893772E-03,  1.377187199389385E+00,  2.093675457411217E-03,
2458315.708333333, A.D. 2018-Jul-16 05:00:00.0000,  4.221228677485159E-01, -1.218815621345170E+00,  4.828928625045642E-01,  1.129584967593284E-02,  2.987071964690927E-03,  3.630456953405722E-03,  7.954473498645642E-03,  1.377274392039980E+00,  2.091571769062177E-03,
2458315.750000000, A.D. 2018-Jul-16 06:00:00.0000,  4.225934866322512E-01, -1.218691040186042E+00,  4.830440840599031E-01,  1.129385643619773E-02,  2.992823393583131E-03,  3.628177655985953E-03,  7.954976575150610E-03,  1.377361497036639E+00,  2.089468068558714E-03,
2458315.791666667, A.D. 2018-Jul-16 07:00:00.0000,  4.230640224259435E-01, -1.218566219419021E+00,  4.831952106386595E-01,  1.129186135412045E-02,  2.998573143706591E-03,  3.625898077523549E-03,  7.955479145405748E-03,  1.377448514378858E+00,  2.087364355968078E-03,
2458315.833333333, A.D. 2018-Jul-16 08:00:00.0000,  4.235344750528495E-01, -1.218441159114043E+00,  4.833462422291289E-01,  1.128986443045815E-02,  3.004321215527222E-03,  3.623618218192535E-03,  7.955981209408167E-03,  1.377535444066136E+00,  2.085260631357296E-03,
2458315.875000000, A.D. 2018-Jul-16 09:00:00.0000,  4.240048444362496E-01, -1.218315859341030E+00,  4.834971788196109E-01,  1.128786566596687E-02,  3.010067609510482E-03,  3.621338078166626E-03,  7.956482767154978E-03,  1.377622286097972E+00,  2.083156894793226E-03,
2458315.916666667, A.D. 2018-Jul-16 10:00:00.0000,  4.244751304994560E-01, -1.218190320169881E+00,  4.836480203984129E-01,  1.128586506140152E-02,  3.015812326121468E-03,  3.619057657619187E-03,  7.956983818643308E-03,  1.377709040473870E+00,  2.081053146342542E-03,
